prediction,time
3654.402058164046,"2021-06-03 22:00:00"
3654.402058164046,"2021-06-03 22:15:00"
3560.932959460776,"2021-06-03 22:30:00"
3545.3291270975606,"2021-06-03 22:45:00"
3543.310622920573,"2021-06-03 23:00:00"
3543.310622920573,"2021-06-03 23:15:00"
2990.919394866369,"2021-06-03 23:30:00"
3525.4359576758757,"2021-06-03 23:45:00"
3527.633737065613,"2021-06-04 00:00:00"
3508.199610830081,"2021-06-04 00:15:00"
3427.5391377686983,"2021-06-04 00:30:00"
3427.5391377686983,"2021-06-04 00:45:00"
3449.6816830643775,"2021-06-04 01:00:00"
3511.97993555395,"2021-06-04 01:15:00"
3512.423279498273,"2021-06-04 01:30:00"
3512.423279498273,"2021-06-04 01:45:00"
3476.9343593416497,"2021-06-04 02:00:00"
3514.825015090262,"2021-06-04 02:15:00"
3539.682125126214,"2021-06-04 02:30:00"
3539.682125126214,"2021-06-04 02:45:00"
3612.990554851041,"2021-06-04 03:00:00"
3753.6702794674297,"2021-06-04 03:15:00"
3976.1258984773967,"2021-06-04 03:30:00"
4029.244813356807,"2021-06-04 03:45:00"
4496.078119482857,"2021-06-04 04:00:00"
4415.349654346909,"2021-06-04 04:15:00"
4440.307444228193,"2021-06-04 04:30:00"
4376.768197466699,"2021-06-04 04:45:00"
4647.007642635667,"2021-06-04 05:00:00"
4587.23020625528,"2021-06-04 05:15:00"
3996.9979266182504,"2021-06-04 05:30:00"
3828.536153711707,"2021-06-04 05:45:00"
4295.0155725808745,"2021-06-04 06:00:00"
4257.124916832262,"2021-06-04 06:15:00"
4253.367650883147,"2021-06-04 06:30:00"
4217.155573883899,"2021-06-04 06:45:00"
4530.00597049751,"2021-06-04 07:00:00"
4726.049939385055,"2021-06-04 07:15:00"
4813.932781081843,"2021-06-04 07:30:00"
4750.607799006145,"2021-06-04 07:45:00"
4574.799676503206,"2021-06-04 08:00:00"
4581.948617409267,"2021-06-04 08:15:00"
4567.330717866457,"2021-06-04 08:30:00"
4567.330717866457,"2021-06-04 08:45:00"
4729.140489601758,"2021-06-04 09:00:00"
4693.630700489707,"2021-06-04 09:15:00"
4693.630700489707,"2021-06-04 09:30:00"
4693.630700489707,"2021-06-04 09:45:00"
4713.974174633907,"2021-06-04 10:00:00"
4713.974174633907,"2021-06-04 10:15:00"
4693.27337105358,"2021-06-04 10:30:00"
4744.729708214098,"2021-06-04 10:45:00"
4699.868164455114,"2021-06-04 11:00:00"
4714.486063997923,"2021-06-04 11:15:00"
4714.486063997923,"2021-06-04 11:30:00"
4699.868164455114,"2021-06-04 11:45:00"
4564.022425030856,"2021-06-04 12:00:00"
4578.6403245736665,"2021-06-04 12:15:00"
4564.022425030856,"2021-06-04 12:30:00"
4569.46776149798,"2021-06-04 12:45:00"
4373.645626739176,"2021-06-04 13:00:00"
4373.645626739176,"2021-06-04 13:15:00"
4322.721056559796,"2021-06-04 13:30:00"
4322.721056559796,"2021-06-04 13:45:00"
4274.717632279055,"2021-06-04 14:00:00"
4274.717632279055,"2021-06-04 14:15:00"
4274.717632279055,"2021-06-04 14:30:00"
4274.717632279055,"2021-06-04 14:45:00"
4526.18766106833,"2021-06-04 15:00:00"
4565.703817268995,"2021-06-04 15:15:00"
4589.520560130855,"2021-06-04 15:30:00"
4572.855594263504,"2021-06-04 15:45:00"
4954.435054191096,"2021-06-04 16:00:00"
4935.342334757133,"2021-06-04 16:15:00"
4962.096067341722,"2021-06-04 16:30:00"
4928.605182632751,"2021-06-04 16:45:00"
4752.382694081863,"2021-06-04 17:00:00"
4833.630648701258,"2021-06-04 17:15:00"
4833.630648701258,"2021-06-04 17:30:00"
